time,filename,prediction,target,avg_brightness,contrast,sharpness
2026-01-22T18:58:43.580023+00:00,data/raw/Testing/glioma/Te-glTr_0000.jpg,0,glioma,30.513633728027344,39.60272328390853,18.489696502685547
2026-01-22T18:58:43.698460+00:00,data/raw/Testing/glioma/Te-glTr_0001.jpg,0,glioma,23.499610900878906,31.120605891509513,13.703632354736328
2026-01-22T18:58:43.800921+00:00,data/raw/Testing/glioma/Te-glTr_0002.jpg,0,glioma,17.35907745361328,25.48790125130493,8.406513214111328
2026-01-22T18:58:43.902563+00:00,data/raw/Testing/glioma/Te-glTr_0003.jpg,0,glioma,31.820053100585938,44.95160546177333,20.228675842285156
2026-01-22T18:58:44.030594+00:00,data/raw/Testing/glioma/Te-glTr_0004.jpg,0,glioma,25.00251007080078,32.71761545793421,13.871219635009766
2026-01-22T18:58:44.128542+00:00,data/raw/Testing/glioma/Te-glTr_0005.jpg,0,glioma,29.605606079101562,43.98591754280703,12.0640869140625
2026-01-22T18:58:44.309699+00:00,data/raw/Testing/glioma/Te-glTr_0006.jpg,0,glioma,27.0,38.733195641995685,17.064014434814453
2026-01-22T18:58:44.407877+00:00,data/raw/Testing/glioma/Te-glTr_0007.jpg,0,glioma,27.977981567382812,37.21623660473584,16.076744079589844
2026-01-22T18:58:44.502375+00:00,data/raw/Testing/glioma/Te-glTr_0008.jpg,0,glioma,27.099773406982422,34.221744071315825,15.612071990966797
2026-01-22T18:58:44.602137+00:00,data/raw/Testing/glioma/Te-glTr_0009.jpg,0,glioma,27.717578887939453,34.98392498634171,16.02544403076172
2026-01-22T18:58:44.700199+00:00,data/raw/Testing/glioma/Te-gl_0010.jpg,0,glioma,27.892921447753906,37.68740193393979,16.376338958740234
2026-01-22T18:58:44.801824+00:00,data/raw/Testing/glioma/Te-gl_0011.jpg,0,glioma,28.20046615600586,40.853799638241426,19.464664459228516
2026-01-22T18:58:44.897475+00:00,data/raw/Testing/glioma/Te-gl_0012.jpg,0,glioma,15.267932891845703,21.02113189109476,11.415519714355469
2026-01-22T18:58:44.995002+00:00,data/raw/Testing/glioma/Te-gl_0013.jpg,0,glioma,22.092384338378906,36.241375792332086,13.177486419677734
2026-01-22T18:58:45.089657+00:00,data/raw/Testing/glioma/Te-gl_0014.jpg,0,glioma,20.21051788330078,32.04897115785408,12.882415771484375
2026-01-22T18:58:45.185380+00:00,data/raw/Testing/glioma/Te-gl_0015.jpg,0,glioma,30.126144409179688,38.52175212820036,17.49014663696289
2026-01-22T18:58:45.282223+00:00,data/raw/Testing/glioma/Te-gl_0016.jpg,0,glioma,26.648303985595703,35.304319065938586,13.26815414428711
2026-01-22T18:58:45.375562+00:00,data/raw/Testing/glioma/Te-gl_0017.jpg,0,glioma,21.979999542236328,35.39281401342739,11.077507019042969
2026-01-22T18:58:45.464355+00:00,data/raw/Testing/glioma/Te-gl_0018.jpg,0,glioma,28.939128875732422,36.45037057944457,12.19308853149414
2026-01-22T18:58:45.551140+00:00,data/raw/Testing/glioma/Te-gl_0019.jpg,0,glioma,27.361454010009766,39.22339715779985,16.27138900756836
2026-01-22T18:58:45.650462+00:00,data/raw/Testing/glioma/Te-gl_0020.jpg,0,glioma,28.20279312133789,36.6386099939671,16.927356719970703
2026-01-22T18:58:45.746808+00:00,data/raw/Testing/glioma/Te-gl_0021.jpg,0,glioma,25.845565795898438,34.64447850114293,14.752178192138672
2026-01-22T18:58:45.847216+00:00,data/raw/Testing/glioma/Te-gl_0022.jpg,0,glioma,27.24454116821289,37.3870140688643,14.588600158691406
2026-01-22T18:58:45.941103+00:00,data/raw/Testing/glioma/Te-gl_0023.jpg,1,glioma,28.28390121459961,40.98216511965343,12.723201751708984
2026-01-22T18:58:46.036288+00:00,data/raw/Testing/glioma/Te-gl_0024.jpg,0,glioma,27.914836883544922,39.355118530032186,19.722206115722656
2026-01-22T18:58:46.130210+00:00,data/raw/Testing/glioma/Te-gl_0025.jpg,0,glioma,26.131515502929688,36.881914938548206,12.351215362548828
2026-01-22T18:58:46.224535+00:00,data/raw/Testing/glioma/Te-gl_0026.jpg,0,glioma,28.22545623779297,36.59642904222426,17.401470184326172
